param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,mean_test_f1,std_test_f1,mean_test_recall,mean_test_accuracy,rank_test_f1
150,,5,2,0.9529056048057591,0.001597829208269078,0.9443080886586356,0.9403469990636103,1
200,,5,2,0.9528983034712395,0.0016673609345181533,0.944409313477795,0.9403308390214055,2
200,30,5,2,0.9527276479778332,0.00157411105246674,0.943624907564165,0.9401529475509842,3
150,30,5,2,0.9526363642012942,0.001740699322558713,0.943751413618045,0.9400235785684535,4
150,25,5,2,0.9520980705722097,0.0020203363059129336,0.9421826075531087,0.939409096101485,5
200,25,5,2,0.9520653898723687,0.002125118769773738,0.9422585300090273,0.9393605900874241,6
150,,10,2,0.9520382596110318,0.0016700576594545912,0.9409427994374112,0.939409118851059,7
150,25,10,2,0.9520322705808296,0.002049638916539214,0.9395511156774837,0.9394899661301676,8
150,30,10,2,0.9519418150760406,0.0019164506876431448,0.9402090136164593,0.9393282613738657,9
200,,10,2,0.951810309064914,0.0017505419392322256,0.9405126477376715,0.939134224766133,10
200,25,10,2,0.9518048163241314,0.002252349418833426,0.9393992918941666,0.939198894744739,11
200,30,10,2,0.9516940352715348,0.0018622542714567104,0.9398800713696823,0.9390210244549558,12
150,,5,4,0.9504680049730408,0.001871262582827289,0.9372991323596258,0.9375656698812175,13
150,25,10,4,0.9504206960145695,0.0017928208368466188,0.9368436975043911,0.9375333325385103,14
200,,10,4,0.9504086960936634,0.0018273974859773531,0.937324463534485,0.9374848186797687,15
200,25,5,4,0.9503793358375662,0.001609334221264958,0.9369954924760897,0.9374686562841595,16
200,25,10,4,0.9503492875728256,0.0017584206405795166,0.9368689979468572,0.937436304821027,17
150,25,5,4,0.950311761498496,0.0017937950508602838,0.9366159493443806,0.9374039706161922,18
200,30,5,4,0.9502965068378856,0.001887206420246633,0.9367930658870658,0.937371622290932,19
150,30,5,4,0.9502947254069177,0.0019279146646735293,0.9369954982384135,0.9373554536195782,20
150,,10,4,0.9502829802478198,0.0022067158101319725,0.9369955116838353,0.9373392794569481,21
200,,5,4,0.9502710902306463,0.0020229561050864927,0.9370207909977815,0.9373231131389987,22
200,30,10,4,0.9502423399021339,0.001729038240948751,0.9371726474342661,0.9372746157540867,23
150,30,10,4,0.950241962063171,0.002134101131234386,0.9369195988317895,0.9372907734428874,24
