tau,accuracy,precision,recall,f1,fpr
0.05,0.89557,0.859642,0.999841,0.924456,0.289059
0.06,0.896681,0.860986,0.99975,0.925194,0.28582
0.07,0.897952,0.862553,0.999605,0.926036,0.282043
0.08,0.899349,0.864336,0.999362,0.926958,0.277742
0.09,0.900984,0.866407,0.999119,0.928043,0.272782
0.1,0.902667,0.86859,0.998808,0.929159,0.267567
0.11,0.904481,0.870985,0.998429,0.930363,0.261868
0.12,0.906432,0.873553,0.998057,0.931664,0.255806
0.13,0.908246,0.875975,0.997685,0.932877,0.250121
0.14,0.910177,0.878628,0.997199,0.934166,0.243911
0.15,0.912379,0.881622,0.996728,0.935648,0.236976
0.16,0.914349,0.884472,0.996083,0.936965,0.230376
0.17,0.916488,0.887465,0.995567,0.938413,0.223535
0.18,0.918855,0.890803,0.994998,0.940022,0.215968
0.19,0.920796,0.893698,0.994337,0.941335,0.209422
0.2,0.922644,0.896651,0.993464,0.942578,0.202755
0.21,0.924424,0.899565,0.992561,0.943777,0.196223
0.22,0.926142,0.902427,0.99165,0.944937,0.189852
0.23,0.928121,0.905702,0.990671,0.946283,0.182634
0.24,0.929829,0.90862,0.989737,0.947445,0.17625
0.25,0.931599,0.911684,0.98875,0.948655,0.169597
0.26,0.933355,0.914815,0.987688,0.949856,0.162849
0.27,0.93483,0.917669,0.986534,0.950856,0.15672
0.28,0.936334,0.920683,0.985259,0.951877,0.150296
0.29,0.93759,0.923455,0.9839,0.952719,0.144409
0.3,0.938842,0.92625,0.982534,0.953562,0.138522
0.31,0.939899,0.928977,0.980955,0.954258,0.132796
0.32,0.940841,0.931635,0.979292,0.954869,0.127245
0.33,0.942029,0.934594,0.977713,0.955668,0.121156
0.34,0.943227,0.937519,0.976226,0.956481,0.115202
0.35,0.944392,0.940281,0.974905,0.95728,0.109637
0.36,0.945197,0.94284,0.97325,0.957804,0.104476
0.37,0.945959,0.945327,0.971633,0.958299,0.099503
0.38,0.946764,0.947838,0.970085,0.958832,0.09453
0.39,0.947365,0.950154,0.968445,0.959212,0.08996
0.4,0.947783,0.952266,0.966752,0.959455,0.085806
0.41,0.948093,0.95436,0.964923,0.959613,0.081707
0.42,0.948588,0.956656,0.963192,0.959913,0.077272
0.43,0.948796,0.958502,0.961507,0.960002,0.07371
0.44,0.948908,0.960551,0.959457,0.960004,0.069772
0.45,0.948971,0.962354,0.957613,0.959977,0.066331
0.46,0.949146,0.964369,0.955738,0.960034,0.062527
0.47,0.949296,0.966248,0.953984,0.960077,0.059005
0.48,0.949233,0.967986,0.952049,0.959951,0.055753
0.49,0.949194,0.969761,0.950128,0.959844,0.05246
0.5,0.948835,0.971307,0.947942,0.959482,0.049583
0.51,0.948428,0.972723,0.945824,0.959085,0.046962
0.52,0.94803,0.974039,0.943835,0.958699,0.044543
0.53,0.947773,0.975496,0.941938,0.958423,0.041895
0.54,0.947501,0.976971,0.94001,0.958134,0.039234
0.55,0.946929,0.978097,0.93796,0.957608,0.037191
0.56,0.946696,0.979463,0.936222,0.957355,0.034758
0.57,0.94608,0.980551,0.934157,0.956792,0.032809
0.58,0.945294,0.981624,0.931842,0.956086,0.030887
0.59,0.944518,0.98266,0.929588,0.955387,0.029046
0.6,0.943659,0.983661,0.927242,0.954619,0.027272
0.61,0.943019,0.984699,0.925215,0.954031,0.025457
0.62,0.942383,0.985657,0.92328,0.953449,0.02379
0.63,0.941496,0.986488,0.921071,0.952658,0.022339
0.64,0.94054,0.987308,0.918771,0.951807,0.020914
0.65,0.939759,0.988208,0.916676,0.951099,0.019368
0.66,0.938735,0.988941,0.91436,0.95019,0.018105
0.67,0.937619,0.989573,0.912,0.949204,0.017016
0.68,0.936378,0.99002,0.909616,0.948116,0.016237
0.69,0.935179,0.99069,0.907096,0.947052,0.015094
0.7,0.933962,0.991201,0.904697,0.945976,0.01422
0.71,0.932773,0.991839,0.90223,0.944915,0.013145
0.72,0.931497,0.992439,0.899664,0.943777,0.012137
0.73,0.929998,0.99304,0.89675,0.942442,0.011129
0.74,0.928485,0.993462,0.893979,0.941099,0.010417
0.75,0.926855,0.993845,0.891064,0.939652,0.009772
0.76,0.925307,0.994349,0.888172,0.938266,0.008938
0.77,0.923697,0.994797,0.885234,0.936823,0.008199
0.78,0.921834,0.995178,0.881963,0.935156,0.007567
0.79,0.919869,0.995587,0.878509,0.933391,0.006895
0.8,0.917914,0.995948,0.875116,0.93163,0.006304
0.81,0.915979,0.996313,0.871753,0.92988,0.005712
0.82,0.913752,0.996791,0.867836,0.927855,0.004946
0.83,0.911637,0.997127,0.864223,0.92593,0.004409
0.84,0.909245,0.997544,0.860109,0.923742,0.00375
0.85,0.906815,0.997735,0.856131,0.921525,0.003441
0.86,0.904224,0.997893,0.851933,0.919155,0.003185
0.87,0.901241,0.998086,0.84709,0.91641,0.002876
0.88,0.898427,0.998273,0.842521,0.913808,0.002581
0.89,0.895129,0.998488,0.837169,0.91074,0.002245
0.9,0.891587,0.998742,0.831408,0.907425,0.001855
0.91,0.887716,0.998888,0.825221,0.903788,0.001626
0.92,0.883224,0.999119,0.817995,0.89953,0.001277
0.93,0.878188,0.99926,0.809994,0.894728,0.001062
0.94,0.87227,0.999356,0.80065,0.889035,0.000914
0.95,0.86511,0.999443,0.78937,0.882071,0.00078
